time,price,change,volume,amount,type
09:25:04,28.2,-0.1,2170,6119400,卖盘
09:30:02,28.17,-0.03,1133,3192229,卖盘
09:30:05,28.15,-0.02,570,1604835,卖盘
09:30:08,28.15,0.0,100,281314,买盘
09:30:11,28.11,-0.04,121,340374,卖盘
09:30:14,28.15,0.04,252,708844,买盘
09:30:17,28.1,-0.05,92,258537,卖盘
09:30:20,28.09,-0.01,432,1213488,卖盘
09:30:23,28.07,-0.02,528,1483230,卖盘
09:30:26,28.09,0.02,277,777641,买盘
09:30:29,28.07,-0.02,94,263861,卖盘
09:30:32,28.07,0.0,859,2409232,买盘
09:30:35,28.02,-0.05,242,678711,卖盘
09:30:37,28.03,0.01,249,697792,买盘
09:30:41,28.01,-0.02,694,1944461,卖盘
09:30:44,28.03,0.02,206,578421,中性盘
09:30:47,28.02,-0.01,128,357642,卖盘
09:30:50,28.02,0.0,245,686418,买盘
09:30:53,28.01,-0.01,272,762796,卖盘
09:30:56,28.01,0.0,465,1304225,卖盘
09:30:59,28.02,0.01,135,378241,卖盘
09:31:02,28.01,-0.01,439,1229452,卖盘
09:31:05,28.02,0.01,491,1376770,卖盘
09:31:08,28.01,-0.01,624,1748546,卖盘
09:31:11,28.0,-0.01,495,1386099,卖盘
09:31:14,28.0,0.0,2338,6544117,卖盘
09:31:15,28.0,0.0,169,475756,买盘
09:31:21,28.0,0.0,351,982337,买盘
09:31:21,27.98,-0.02,203,566011,卖盘
09:31:26,27.99,0.01,305,853207,买盘
09:31:29,27.96,-0.03,70,195796,卖盘
09:31:32,27.98,0.02,218,609812,买盘
09:31:35,27.96,-0.02,145,405489,卖盘
09:31:38,27.96,0.0,213,596688,买盘
09:31:41,27.97,0.01,234,654099,买盘
09:31:44,27.96,-0.01,187,523240,卖盘
09:31:47,27.96,0.0,262,732324,卖盘
09:31:50,27.96,0.0,257,719698,买盘
09:31:53,27.96,0.0,1195,3340144,卖盘
09:31:56,27.96,0.0,213,594892,卖盘
09:31:59,27.97,0.01,286,801240,中性盘
09:32:02,27.97,0.0,182,508502,卖盘
09:32:05,27.98,0.01,183,510780,买盘
09:32:07,27.97,-0.01,235,658537,卖盘
09:32:10,27.98,0.01,133,371097,买盘
09:32:14,27.98,0.0,245,685217,买盘
09:32:17,27.98,0.0,173,483963,买盘
09:32:20,27.98,0.0,276,774250,卖盘
09:32:21,27.98,0.0,61,169372,卖盘
09:32:26,27.98,0.0,317,887141,卖盘
09:32:28,27.99,0.01,107,299327,买盘
09:32:32,27.98,-0.01,197,550519,卖盘
09:32:35,27.99,0.01,145,405864,中性盘
09:32:38,27.98,-0.01,183,511961,卖盘
09:32:40,28.0,0.02,197,551965,买盘
09:32:44,27.98,-0.02,161,451169,卖盘
09:32:45,27.99,0.01,128,357250,卖盘
09:32:50,28.0,0.01,126,352632,买盘
09:32:53,28.02,0.02,80,225721,买盘
09:32:54,28.0,-0.02,41,113656,卖盘
09:32:59,28.02,0.02,23,64290,买盘
09:33:01,28.0,-0.02,200,559910,卖盘
09:33:04,27.99,-0.01,242,678787,卖盘
09:33:08,28.0,0.01,222,619877,买盘
09:33:11,28.01,0.01,74,207851,中性盘
09:33:14,28.01,0.0,33,91994,卖盘
09:33:15,28.0,-0.01,85,239242,卖盘
09:33:20,28.0,0.0,205,575027,卖盘
09:33:23,28.0,0.0,437,1221262,卖盘
09:33:24,28.02,0.02,125,351334,买盘
09:33:29,28.01,-0.01,89,249419,卖盘
09:33:31,28.0,-0.01,144,403849,卖盘
09:33:35,28.01,0.01,155,434470,卖盘
09:33:38,28.01,0.0,328,918574,买盘
09:33:41,28.03,0.02,151,423135,买盘
09:33:44,28.03,0.0,459,1283255,买盘
09:33:45,28.01,-0.02,146,409245,卖盘
09:33:50,28.01,0.0,135,378207,卖盘
09:33:53,28.01,0.0,223,626280,卖盘
09:33:56,28.02,0.01,210,587496,买盘
09:33:59,28.01,-0.01,112,314425,卖盘
09:34:02,28.01,0.0,186,519258,卖盘
09:34:05,28.02,0.01,275,771029,买盘
09:34:06,28.01,-0.01,54,152438,卖盘
09:34:10,28.03,0.02,172,481419,买盘
09:34:14,28.02,-0.01,113,316293,中性盘
09:34:17,28.01,-0.01,72,200837,卖盘
09:34:20,28.02,0.01,17,47630,中性盘
09:34:23,28.02,0.0,482,1352412,买盘
09:34:26,28.02,0.0,126,353043,买盘
09:34:28,28.02,0.0,279,781390,买盘
09:34:32,28.0,-0.02,1302,3643571,卖盘
09:34:35,27.98,-0.02,1964,5499493,卖盘
09:34:38,27.99,0.01,1032,2885419,买盘
09:34:41,27.99,0.0,364,1018465,买盘
09:34:43,27.98,-0.01,216,602933,中性盘
09:34:47,27.94,-0.04,649,1814803,卖盘
09:34:50,27.94,0.0,279,780514,卖盘
09:34:51,27.98,0.04,660,1844149,买盘
09:34:56,27.93,-0.05,261,728431,卖盘
09:34:59,27.94,0.01,111,309732,中性盘
09:35:02,27.98,0.04,116,324267,买盘
09:35:05,28.0,0.02,851,2382490,买盘
09:35:08,27.96,-0.04,495,1386848,卖盘
09:35:11,28.0,0.04,81,225884,买盘
09:35:14,28.02,0.02,312,873989,买盘
09:35:17,27.97,-0.05,142,397613,卖盘
09:35:20,27.99,0.02,43,120300,买盘
09:35:21,27.95,-0.04,53,148087,卖盘
09:35:26,27.96,0.01,116,324315,买盘
09:35:29,27.99,0.03,300,839944,买盘
09:35:32,27.97,-0.02,276,770596,卖盘
09:35:35,27.98,0.01,206,576034,买盘
09:35:38,27.96,-0.02,96,269453,卖盘
09:35:41,27.97,0.01,55,151640,买盘
09:35:44,27.95,-0.02,350,980224,卖盘
09:35:47,27.95,0.0,50,139804,卖盘
09:35:50,27.97,0.02,182,509247,中性盘
09:35:53,27.95,-0.02,158,440579,卖盘
09:35:56,27.99,0.04,163,455607,买盘
09:35:59,27.97,-0.02,58,161628,买盘
09:36:01,27.97,0.0,655,1831293,买盘
09:36:04,27.97,0.0,86,240084,买盘
09:36:08,27.95,-0.02,565,1580464,卖盘
09:36:10,27.93,-0.02,587,1638893,卖盘
09:36:14,27.93,0.0,167,466116,卖盘
09:36:17,27.96,0.03,30,84287,买盘
09:36:20,27.95,-0.01,31,86654,卖盘
09:36:23,27.96,0.01,114,318529,买盘
09:36:26,27.96,0.0,67,187601,买盘
09:36:29,27.95,-0.01,33,90666,中性盘
09:36:32,27.96,0.01,503,1407546,买盘
09:36:35,27.95,-0.01,251,701453,中性盘
09:36:38,27.95,0.0,125,346960,卖盘
09:36:41,27.98,0.03,60,167820,买盘
09:36:44,27.98,0.0,271,758930,卖盘
09:36:47,27.99,0.01,159,446901,买盘
09:36:50,28.0,0.01,243,680376,买盘
09:36:53,28.01,0.01,215,600375,买盘
09:36:54,28.03,0.02,189,531125,买盘
09:36:58,28.0,-0.03,68,190197,卖盘
09:37:02,28.02,0.02,121,339004,买盘
09:37:05,28.01,-0.01,60,167396,卖盘
09:37:08,28.01,0.0,50,141238,卖盘
09:37:11,28.01,0.0,273,764521,卖盘
09:37:14,27.95,-0.06,760,2125763,卖盘
09:37:15,27.97,0.02,488,1361905,买盘
09:37:20,27.95,-0.02,187,524875,卖盘
09:37:23,27.95,0.0,81,225878,卖盘
09:37:26,28.01,0.06,50,139191,买盘
09:37:29,28.01,0.0,82,229468,卖盘
09:37:32,28.0,-0.01,185,519213,中性盘
09:37:35,28.0,0.0,139,388978,卖盘
09:37:38,28.01,0.01,287,803062,买盘
09:37:41,28.01,0.0,152,424947,卖盘
09:37:44,28.01,0.0,419,1175255,买盘
09:37:47,28.01,0.0,159,443763,卖盘
09:37:50,28.01,0.0,82,231342,卖盘
09:37:53,28.02,0.01,218,610193,卖盘
09:37:56,28.01,-0.01,383,1074140,卖盘
09:37:59,28.01,0.0,69,191676,卖盘
09:38:02,28.01,0.0,169,473435,卖盘
09:38:05,28.0,-0.01,892,2499732,卖盘
09:38:08,28.01,0.01,175,490433,买盘
09:38:11,28.0,-0.01,75,210180,卖盘
