time,price,change,volume,amount,type
09:25:05,81.0,0.0,10570,85617729,卖盘
09:30:00,81.11,0.11,209,1697955,买盘
09:30:03,81.02,-0.09,2666,21598624,卖盘
09:30:06,81.06,0.04,1285,10416879,买盘
09:30:09,81.11,0.05,1179,9556069,买盘
09:30:12,81.11,0.0,186,1507660,卖盘
09:30:15,81.18,0.07,299,2426210,买盘
09:30:18,81.17,-0.01,127,1030907,卖盘
09:30:21,81.16,-0.01,305,2475694,卖盘
09:30:24,81.17,0.01,284,2305115,买盘
09:30:27,81.18,0.01,177,1436641,买盘
09:30:29,81.17,-0.01,343,2783577,卖盘
09:30:33,81.16,-0.01,311,2524110,卖盘
09:30:36,81.16,0.0,292,2371539,卖盘
09:30:39,81.17,0.01,451,3660721,买盘
09:30:41,81.15,-0.02,251,2037081,卖盘
09:30:45,81.1,-0.05,164,1330852,中性盘
09:30:48,81.15,0.05,187,1517327,买盘
09:30:51,81.1,-0.05,99,803100,卖盘
09:30:54,81.1,0.0,92,745978,买盘
09:30:57,81.13,0.03,116,940721,买盘
09:31:00,81.11,-0.02,289,2344662,中性盘
09:31:03,81.05,-0.06,228,1848828,卖盘
09:31:06,81.08,0.03,128,1037744,买盘
09:31:09,81.08,0.0,869,7041494,买盘
09:31:11,81.02,-0.06,106,858525,卖盘
09:31:15,81.02,0.0,71,575390,买盘
09:31:17,81.05,0.03,326,2642461,买盘
09:31:20,81.04,-0.01,207,1678029,卖盘
09:31:24,81.03,-0.01,129,1045273,卖盘
09:31:27,81.01,-0.02,552,4470822,卖盘
09:31:30,81.0,-0.01,1317,10666016,卖盘
09:31:32,80.98,-0.02,401,3245208,卖盘
09:31:36,80.98,0.0,53,429147,买盘
09:31:39,80.98,0.0,47,380626,买盘
09:31:41,80.98,0.0,46,372529,卖盘
09:31:45,80.98,0.0,51,413001,买盘
09:31:48,80.95,-0.03,135,1093019,卖盘
09:31:51,80.87,-0.08,179,1448030,卖盘
09:31:54,80.87,0.0,31,250856,卖盘
09:31:57,80.87,0.0,86,696206,卖盘
09:32:00,80.87,0.0,189,1528843,卖盘
09:32:03,80.86,-0.01,358,2893657,卖盘
09:32:06,80.87,0.01,343,2772374,买盘
09:32:09,80.8,-0.07,129,1043143,卖盘
09:32:11,80.79,-0.01,596,4815727,卖盘
09:32:15,80.75,-0.04,194,1567184,卖盘
09:32:18,80.78,0.03,61,492696,中性盘
09:32:20,80.72,-0.06,64,516884,卖盘
09:32:24,80.78,0.06,601,4857267,买盘
09:32:26,80.78,0.0,84,678716,卖盘
09:32:30,80.78,0.0,204,1649060,卖盘
09:32:33,80.73,-0.05,723,5838294,卖盘
09:32:35,80.87,0.14,101,815835,买盘
09:32:39,80.7,-0.17,534,4310348,卖盘
09:32:42,80.73,0.03,252,2034556,买盘
09:32:45,80.75,0.02,39,314896,中性盘
09:32:48,80.75,0.0,134,1081680,买盘
09:32:50,80.73,-0.02,81,653916,卖盘
09:32:54,80.8,0.07,150,1211371,买盘
09:32:56,80.8,0.0,80,646577,卖盘
09:33:00,80.86,0.06,42,339498,中性盘
09:33:02,80.85,-0.01,320,2588001,中性盘
09:33:06,80.91,0.06,43,347774,中性盘
09:33:09,80.98,0.07,97,789394,买盘
09:33:11,80.92,-0.06,60,485585,卖盘
09:33:15,80.98,0.06,90,728673,买盘
09:33:17,80.96,-0.02,53,429216,卖盘
09:33:21,80.98,0.02,201,1627789,卖盘
09:33:24,80.99,0.01,93,753266,中性盘
09:33:27,80.99,0.0,237,1919597,卖盘
09:33:30,81.0,0.01,206,1668563,买盘
09:33:33,81.01,0.01,442,3580599,买盘
09:33:36,81.03,0.02,308,2495272,买盘
09:33:38,81.06,0.03,235,1904210,买盘
09:33:42,81.1,0.04,98,794554,买盘
09:33:45,81.1,0.0,68,551439,买盘
09:33:48,81.11,0.01,210,1703135,买盘
09:33:51,81.12,0.01,133,1078797,买盘
09:33:54,81.16,0.04,266,2158706,买盘
09:33:56,81.19,0.03,244,1980745,买盘
09:34:00,81.2,0.01,391,3174658,买盘
09:34:03,81.2,0.0,757,6147150,卖盘
09:34:06,81.21,0.01,366,2971864,买盘
09:34:09,81.21,0.0,565,4592335,卖盘
09:34:12,81.3,0.09,71,576876,买盘
09:34:15,81.34,0.04,311,2529657,买盘
09:34:18,81.3,-0.04,267,2171852,卖盘
09:34:21,81.3,0.0,191,1553406,买盘
09:34:24,81.35,0.05,200,1627305,买盘
